2	99	140
3	147	271
4	167	343
5	192	422
6	251	565
7	287	673
8	335	768
9	408	920
10	461	1030
11	502	1168
12	584	1300
13	638	1397
14	703	1517
15	787	1680
16	880	1857
17	934	1953
18	1034	2073
19	1140	2226
20	1287	2467
21	1325	2469
22	1413	2620
23	1536	2755
24	1636	2900
25	1760	3038
26	1933	3284
27	1995	3318
28	2134	3480
29	2361	3788
30	2424	3736
31	2544	3875
32	2743	4116
33	2858	4214
34	3247	4721
35	3356	4784
36	3765	5289
37	3907	5406
38	4049	5519
39	4121	5527
40	4262	5595
41	4229	5476
42	4394	5573
43	4743	5931
44	4750	5917
45	5133	6239
46	5444	6517
47	5556	6609
48	5717	6680
49	6106	7035
50	6770	7699
51	6535	7313
52	7019	7711
53	7403	8047
54	7069	7617
55	7578	8058
56	7755	8165
57	8189	8478
58	8449	8719
59	8732	8895
60	8690	8654
61	9097	8991
62	9358	9159
63	10227	9895
64	9858	9421
65	10229	9619
66	11257	10542
67	11241	10407
68	12388	11257
69	12240	11072
70	11908	10733
71	11777	10432
72	12678	11147
73	12974	11346
74	13233	11376
75	13348	11374
76	13595	11538
77	14319	11989
78	14724	12192
79	15303	12514
80	15315	12539
81	15524	12486
82	15849	12621
83	16394	12941
84	18481	14312
85	18539	14345
86	18762	14415
87	17598	13457
88	19194	14496
89	18734	14003
90	19322	14387
91	19453	14345
92	21801	15786
93	21201	15395
94	20359	14630
95	21907	15593
96	22093	15689
97	22709	16043
98	23371	16254
99	22430	15517
100	22996	15799
